qs1,qs2,qs2a,qs3y_1,qs4_1,qs6_1,rateqs3y,rateqs4,rateqs6,p1,p5,p7a,p7b,p7c,p7d,p7e,p7f,p7g,p7count,p8,p9,p10,p11,p14,p15,p16,p1801,p20,p22a,p22b,p22c,p22d,p22e,p22f,p22g,p23,p24,c1,c2a,c2b,c2c,c2d,c2e,c2f,c2g,c3,c8,C3C8,c4,c1_t,c11,c15,c16,c17a,c17b,c17c,c17d,c17e,c17f,c17g,c17h,c17i,c17j,c17k,c17l,c17m,c17n,c17o,c17p,c17q,c20,c23a,c23b,c23c,c23d,c23e,dmscore,C26A_H,C26_A,C26C_H,C26_C,C26D_H,C26_D,C26E_H,C26_E,C26F_H,C26G_H,C26_G,C26TOT1,C26TOT2
1,2,2,10,2,6,15,2,10,2,1,1,2,1,1,2,2,1,4,1,2,5,5,1,750,630,7,4,2,2,2,2,2,2,2,1,6,30,5,4,2,4,4,2,2,4,5,2,9,2230,1,3,2,4,3,4,1,1,1,1,1,1,4,4,2,2,2,4,3,3,3,2,2,2,3,3,22.5,2,120,0,0,0.33,20,0.33,20,1.5,0.5,30,4.99,300
1,2,2,13,1,7,13,1,7,6,1,1,1,1,2,2,2,2,3,1,1,5,3,1,800,730,4,4,2,2,2,2,2,2,2,1,5,20,3,5,3,3,5,5,5,3,4,2,13,2000,1,1,4,4,4,1,1,5,4,4,3,1,1,3,3,3,1,3,3,4,3,2,3,2,1,2,20,1,60,1,60,0.5,30,0.5,30,0.33,1,60,7.33,440
1,1,3,11,1,6,11,1,6,1,1,1,2,2,2,2,2,1,2,2,1,5,3,1,720,645,4,6,1,2,2,2,2,2,2,5,3,22,3,5,3,1,1,1,3,2,2,1,12,2030,0,4,4,1,1,3,1,4,1,5,1,1,4,4,1,4,1,1,5,3,4,1,2,2,2,2,17.5,1,60,1.5,90,0,0,0,0,0,1,60,7.5,450
1,1,1,12,2,7,12,2,7,1,1,1,2,1,1,2,2,1,4,2,1,5,3,3,800,740,3,2,2,2,2,2,2,2,2,1,5,26,4,5,2,3,2,4,2,3,3,1,12,2130,5,2,4,3,4,3,1,1,2,4,1,3,2,4,3,1,1,3,4,1,3,1,1,2,2,1,15,1.5,90,0,0,0.5,30,0.25,15,0,0.58,35,7.83,470
1,1,2,12,1,7,14,1,9,2,1,2,2,2,2,2,1,1,2,2,2,5,5,1,805,715,7,2,2,2,2,2,2,2,2,1,7,30,5,4,1,4,1,5,3,4,4,1,14,2230,0,4,5,4,3,3,1,1,1,5,1,3,1,3,1,3,1,3,1,4,3,2,1,2,2,2,17.5,0.75,45,1,60,0.25,15,0.08,5,0.5,2,120,5.08,305
1,1,1,12,1,6,12,1,6,1,1,1,2,2,2,2,1,1,3,1,1,4,3,1,910,830,3,2,2,2,2,2,2,2,2,1,5,26,5,5,3,3,2,3,4,4,5,2,19,2130,0,2,5,2,2,3,2,1,2,3,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,10,2,120,0.5,30,0,0,0,0,0,2,120,6,360
1,2,2,16,2,11,16,2,11,1,1,1,2,2,2,2,1,1,3,1,1,5,5,1,815,755,3,2,2,99,2,2,2,2,1,1,5,34,4,3,2,5,3,4,1,5,3,3,15,2330,10,2,4,4,2,2,2,1,2,5,5,1,4,4,2,1,2,4,1,2,2,1,1,1,1,1,10,2,120,0.5,30,1,60,2,120,1,0,0,8.5,510
1,1,3,11,1,6,11,1,6,1,1,1,2,2,2,2,2,1,2,1,1,4,4,1,830,815,4,3,2,2,2,2,2,2,2,1,7,28,3,5,1,4,5,1,1,3,2,3,19,2200,0,5,1,1,4,3,3,2,1,5,1,1,1,5,5,4,1,1,1,5,1,1,1,1,1,1,10,0,0,1,60,2,120,0,0,0,1,60,5,300
1,2,2,15,2,9,15,2,9,1,1,1,2,1,1,2,2,1,4,2,1,5,4,1,730,715,9,3,2,2,2,2,2,2,2,1,6,28,4,5,5,5,1,1,1,4,2,3,12,2200,10,3,3,4,4,4,1,1,3,5,1,1,4,4,3,3,2,5,2,5,2,1,1,2,3,3,17.5,0.75,45,0,0,0.5,30,2.5,150,0,2.5,150,10.25,615
1,1,3,13,1,7,13,1,7,1,1,2,2,2,2,2,2,1,1,1,1,5,4,1,815,730,7,6,2,2,2,2,2,2,2,1,1,10,2,5,3,4,2,2,1,6,4,3,13,200,10,2,5,2,2,3,1,1,2,5,1,1,2,2,4,2,5,2,1,2,2,1,2,2,2,1,17.5,4,240,3,180,2,120,2,120,0.5,1,60,17.5,1050
1,1,2,13,1,8,13,1,8,1,1,1,2,2,2,2,1,2,2,1,1,5,4,1,730,700,3,4,2,2,2,2,2,2,2,1,5,28,5,5,1,1,1,5,3,7,4,3,10,2200,0,1,2,1,1,3,2,1,1,1,1,1,3,1,4,1,1,1,3,1,1,1,1,2,1,1,12.5,3,180,6,360,2,120,1,60,0,1,60,18,1080
1,2,2,12,1,7,12,1,7,2,1,1,1,1,2,1,1,1,6,2,2,5,4,4,1000,0,8,5,2,2,2,2,2,2,2,1,5,24,5,4,1,1,2,4,1,5,5,1,17,2100,2,2,5,5,2,99,2,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,1,2,1,1,15,99,99,1,60,0,0,0.08,5,0,2.5,150,4.58,275
1,1,1,16,1,9,16,1,9,1,1,1,1,2,2,2,1,1,4,2,2,5,3,3,800,715,7,3,2,2,2,2,2,2,2,1,5,20,5,5,5,4,2,2,1,5,5,1,11,2000,0,1,5,3,1,4,1,1,2,1,1,1,4,2,2,2,4,1,1,2,1,1,1,1,1,1,10,0.5,30,1,60,1,60,1,60,0,1,60,9.5,570
1,2,3,11,2,6,11,2,6,1,1,2,2,2,2,2,2,2,0,1,1,5,5,1,830,810,7,2,2,2,2,2,2,2,2,1,6,26,5,5,2,5,5,2,2,2,2,1,12,2130,0,5,5,3,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,10,0.5,30,0,0,2,120,0,0,0.33,1,60,5.83,350
1,1,2,12,1,7,12,1,7,1,1,2,2,2,2,2,2,1,1,1,1,2,4,1,815,710,3,2,2,2,2,2,2,2,1,1,4,28,5,5,1,2,2,3,2,3,3,1,13,2200,0,5,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,180,1,60,0.5,30,1,60,1,2,120,9.5,570
1,2,1,11,1,6,11,1,6,1,1,2,2,2,2,2,2,1,1,1,1,5,3,1,800,715,7,2,1,2,2,2,2,2,2,1,4,24,2,5,2,1,5,2,2,7,7,1,13,2100,0,2,4,4,2,2,1,1,4,2,1,2,2,2,2,2,2,2,1,4,2,3,2,2,2,2,22.5,0.17,10,0.5,30,0,0,0.25,15,0.5,3,180,7.42,445
1,2,2,14,1,9,14,1,9,1,1,2,1,2,2,1,2,1,3,1,1,4,4,1,745,730,3,2,2,2,2,2,2,2,2,1,6,28,4,2,1,3,4,4,4,3,4,2,15,2200,0,3,4,1,1,1,1,4,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,10,2,120,2,120,1,60,0,0,0.5,2,120,7.5,450
1,1,1,17,1,11,17,1,11,1,1,2,2,2,1,2,2,1,2,1,1,4,1,2,745,730,1,6,2,2,2,2,2,2,2,1,6,30,4,5,4,1,1,1,1,5,4,3,11,2230,0,1,4,2,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,5,1,2,1,1,1,1,12.5,0.5,30,0,0,0.33,20,0.5,30,1,3,180,6.33,380
1,1,2,12,1,7,12,1,7,2,1,1,1,2,2,1,1,1,5,1,1,5,3,1,800,730,3,4,2,2,2,2,2,2,2,1,3,26,2,4,5,5,4,1,1,5,1,3,13,2130,1,4,3,5,3,4,4,3,2,5,1,4,4,5,2,2,3,3,2,2,5,2,2,1,3,3,20,1,60,2,120,1,60,2,120,0.5,6,360,15.5,930
1,1,2,11,2,6,11,2,6,1,1,2,2,2,2,2,1,1,2,1,2,5,4,1,830,815,4,3,2,2,2,2,2,2,2,1,3,22,5,5,4,4,5,5,5,2,2,1,13,2030,0,1,5,3,1,3,1,1,2,2,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,10,1,60,2,120,0.5,30,0,0,0.5,0.5,30,7.5,450
1,1,1,11,2,6,11,2,6,1,1,2,2,2,2,2,2,1,1,1,1,5,5,6,815,745,3,2,2,2,2,2,2,2,2,1,6,24,3,5,1,3,5,1,5,4,3,3,15,2100,4,4,5,3,5,5,1,1,5,5,1,1,5,1,5,1,1,5,1,5,5,2,1,1,1,1,12.5,1,60,0,0,0.5,30,0,0,0.5,99,99,3,180
1,1,2,14,1,8,14,1,8,1,1,1,2,2,2,2,1,1,3,1,1,5,3,1,800,715,3,7,2,1,2,2,2,1,1,1,5,28,5,5,3,1,1,5,1,3,2,3,13,2200,0,4,5,3,2,3,2,2,1,1,1,1,1,2,3,1,1,2,1,2,1,2,1,2,2,2,17.5,4,240,4,240,0,0,1,60,0,1,60,12,720
1,2,1,13,2,8,13,2,8,1,1,1,2,2,1,2,1,1,4,1,1,5,3,1,730,630,7,1,2,2,2,2,2,2,2,1,5,28,1,5,5,4,5,1,1,4,4,1,11,2200,0,1,2,5,5,5,3,1,1,5,1,5,5,5,4,1,3,5,5,5,1,3,1,3,3,3,25,0.5,30,0,0,3,180,3,180,0,0,0,6.5,390
1,1,1,11,1,6,11,1,6,1,1,1,1,2,2,1,1,1,5,1,1,4,4,1,800,730,7,2,2,2,2,2,2,2,2,1,6,26,4,2,1,2,2,2,2,2,3,2,13,2130,0,3,5,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0.75,45,0.5,30,0.17,10,0.5,30,0.17,2,120,4.42,265
1,1,1,11,1,6,11,1,6,1,1,2,1,2,2,1,2,1,3,1,1,5,3,4,900,0,4,2,2,2,2,2,2,2,2,1,7,24,1,5,1,1,4,1,3,5,5,1,15,2100,0,1,5,2,1,2,1,2,1,2,1,1,2,3,1,1,1,2,1,3,1,1,1,1,1,1,10,99,99,0.5,30,0,0,0,0,0.5,0.75,45,1.75,105
1,1,2,13,1,7,13,1,7,2,1,1,2,2,2,2,1,1,3,1,1,5,3,1,745,730,7,2,2,2,2,2,2,2,2,1,6,26,4,4,1,1,1,4,4,2,2,1,14,2130,14,4,5,1,1,4,1,1,3,1,1,1,3,3,1,1,1,1,1,1,4,1,1,1,1,1,10,2,120,1,60,0,0,0,0,0.25,5,300,8.75,525
1,1,3,12,1,6,14,2,9,1,1,2,2,2,2,2,2,2,0,1,1,4,3,3,830,800,2,5,2,2,2,2,2,2,2,1,2,24,5,1,1,1,2,1,5,5,5,1,13,2100,0,2,5,2,2,2,1,1,3,5,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,10,4,240,0,0,0,0,0,0,2,1,60,7,420
1,1,3,14,2,9,14,2,9,2,1,1,2,1,2,2,1,1,4,1,2,5,4,1,730,720,3,2,2,2,2,2,2,2,2,1,3,28,5,5,2,1,5,1,2,6,4,3,11,2200,0,1,4,5,4,5,2,1,1,1,1,1,5,2,5,1,1,5,1,2,1,1,2,2,3,1,20,1.5,90,0,0,0,0,0.5,30,1,0.5,30,4,240
1,1,1,11,1,6,11,1,6,1,1,2,2,2,2,2,2,1,1,1,1,5,4,1,830,730,3,1,2,2,2,2,2,2,2,4,6,22,5,5,1,1,5,3,5,4,4,1,15,2030,99,3,5,1,1,1,2,1,1,5,1,1,2,4,2,1,1,1,1,2,1,1,1,1,1,2,10,1,60,1,60,0.17,10,0,0,0.5,99,99,3.67,220
1,1,1,16,2,11,16,2,11,1,1,1,2,1,1,2,2,1,4,1,2,5,3,6,745,718,3,1,2,2,2,2,2,2,2,1,3,27,5,1,5,3,4,1,4,3,2,3,11,2145,3,5,5,2,4,4,1,1,1,1,1,2,1,2,4,2,1,4,1,1,1,2,1,1,2,1,15,3,180,0,0,0.5,30,6,360,2,1,60,13,780
